name,need1,thirds,half
"Bloomfield village, Walworth County, WI",0.057469952,0.053478195,0.051482317
"Bloomfield town, Walworth County, WI",0.045752496,0.06373116,0.072720492
"Darien village, Walworth County, WI",0.025315807,0.027170955,0.028098529
"Darien town, Walworth County, WI",0.033854623,0.040936898,0.044478036
"Delavan city, Walworth County, WI",0.075748313,0.070426055,0.067764927
"Delavan town, Walworth County, WI",0.069871258,0.059438728,0.054222463
"East Troy village, Walworth County, WI",0.030291958,0.028767432,0.028005169
"East Troy town, Walworth County, WI",0.029425881,0.027882169,0.027110313
"Elkhorn city, Walworth County, WI",0.03944337,0.03816711,0.03752898
"Fontana-on-Geneva Lake village, Walworth County, WI",0.036568682,0.030251668,0.027093162
"Geneva town, Walworth County, WI",0.038737019,0.048946767,0.054051641
"Genoa City village, Walworth County, WI",0.029222623,0.023921088,0.021270321
"Lafayette town, Walworth County, WI",0.008839068,0.010332867,0.011079766
"La Grange town, Walworth County, WI",0.025262469,0.021180403,0.01913937
"Lake Geneva city, Walworth County, WI",0.015722588,0.019313888,0.021109538
"Linn town, Walworth County, WI",0.015969896,0.020765598,0.023163449
"Lyons town, Walworth County, WI",0.031575184,0.02181088,0.016928728
"Mukwonago village, Walworth County, WI",0,0,0
"Richmond town, Walworth County, WI",0.01154845,0.00943139,0.008372861
"Sharon village, Walworth County, WI",0.063702502,0.080603851,0.089054526
"Sharon town, Walworth County, WI",0.017055343,0.01565848,0.014960049
"Spring Prairie town, Walworth County, WI",0.002035969,0.001357313,0.001017985
"Sugar Creek town, Walworth County, WI",0.002902524,0.001935016,0.001451262
"Troy town, Walworth County, WI",0.022665161,0.036716311,0.043741886
"Walworth village, Walworth County, WI",0.04008137,0.046467877,0.04966113
"Walworth town, Walworth County, WI",0.019071,0.018187089,0.017745134
"Whitewater city, Walworth County, WI",0.054215709,0.058661404,0.060884251
"Whitewater town, Walworth County, WI",0.104620333,0.079153681,0.066420355
"Williams Bay village, Walworth County, WI",0.053030451,0.045305725,0.041443362
