name,Below 200% FPL,Having no health insurance,Income under 25K with no health insurance coverage,Income 25K-50K with no health insurance coverage,Average household size,Municipality estimated 200% FPL level,Estimated percentage under 200% FPL with no health insurance,lab,lab2
"Bloomfield village, Walworth County, WI",0.231175,0.068885,0.011516,0.015355,3.07,44555.6,0.02352705,,
"Bloomfield town, Walworth County, WI",0.32093,0.117099,0.021956,0.045243,2.69,41105.2,0.051101903,,
"Burlington city, Walworth County, WI",0,0,0,0,0,16680,0,,
"Darien village, Walworth County, WI",0.188285,0.080399,0.005869,0.017606,2.96,43556.8,0.018937441,,
"Darien town, Walworth County, WI",0.142549,0.130194,0,0.041551,2.86,42648.8,0.029333012,,
"Delavan city, Walworth County, WI",0.244231,0.117848,0.010226,0.03701,2.5,39380,0.031514152,,
"Delavan town, Walworth County, WI",0.144634,0.057143,0.006623,0.024976,2.35,38018,0.019628503,,
"East Troy village, Walworth County, WI",0.092643,0.049391,0.008193,0.011236,2.29,37473.2,0.013798955,,
"East Troy town, Walworth County, WI",0.109347,0.029324,0.010437,0.003479,2.48,39198.4,0.012412849,,
"Elkhorn city, Walworth County, WI",0.235753,0.055458,0.005183,0.024153,2.39,38381.2,0.018110845,,
"Fontana-on-Geneva Lake village, Walworth County, WI",0.107943,0.030363,0.005281,0.007921,2.16,36292.8,0.008859011,,
"Geneva town, Walworth County, WI",0.11781,0.086314,0.025774,0.018581,2.3,37564,0.035112067,,
"Genoa City village, Walworth County, WI",0.195238,0.047427,0.001682,0.008745,2.68,41014.4,0.007283837,,
"Lafayette town, Walworth County, WI",0.121575,0.029271,0.002129,0.008515,2.54,39743.2,0.007150534,,
"La Grange town, Walworth County, WI",0.104994,0.050822,0.003363,0.005979,2.54,39743.2,0.006888984,A,B
"Lake Geneva city, Walworth County, WI",0.195901,0.058045,0.010659,0.007063,2.21,36746.8,0.013977706,,
"Linn town, Walworth County, WI",0.174713,0.09184,0.001766,0.025786,2.42,38653.6,0.015848869,,
"Lyons town, Walworth County, WI",0.093321,0.01065,0,0.002185,2.68,41014.4,0.001399659,,
"Mukwonago village, Walworth County, WI",0,0,0,0,3.62,49549.6,0,,
"Richmond town, Walworth County, WI",0.061657,0.02974,0,0.005842,2.53,39652.4,0.003423973,B,A
"Sharon village, Walworth County, WI",0.34058,0.092604,0.01243,0.067744,2.53,39652.4,0.052134487,,
"Sharon town, Walworth County, WI",0.2125,0.031969,0.002558,0.007673,2.43,38744.4,0.006776431,,
"Spring Prairie town, Walworth County, WI",0.157546,0.058146,0,0,2.52,39561.6,0,C,C
"Sugar Creek town, Walworth County, WI",0.122349,0.052738,0,0,2.57,40015.6,0,,
"Troy town, Walworth County, WI",0.117188,0.065105,0.01452,0.028103,2.39,38381.2,0.029562075,,
"Walworth village, Walworth County, WI",0.369382,0.073144,0.011115,0.029043,2.65,40742,0.029402796,,
"Walworth town, Walworth County, WI",0.118182,0.038321,0,0.015207,2.54,39743.2,0.008967994,,
"Whitewater city, Walworth County, WI",0.329923,0.072283,0.020959,0.023413,2.27,37291.6,0.032470329,,
"Whitewater town, Walworth County, WI",0.117137,0.08037,0.002845,0.020626,2.46,39016.8,0.014409421,,
"Williams Bay village, Walworth County, WI",0.185754,0.041009,0.010647,0.009464,2.25,37110,0.015231362,,
